entry,at,order
"The player ""brian @ S6b6tLmlfO"" requested a seat.",2025-03-28T01:59:15.252Z,174312715525200
"""cashin @ z9ny6iZJyv"" folds",2025-03-28T01:59:04.036Z,174312714403600
"""MineSweeperPro @ 1CyApOBBYk"" posts a big blind of 1.00",2025-03-28T01:59:00.688Z,174312714068809
"""james @ yIasX5_n4b"" posts a small blind of 0.50",2025-03-28T01:59:00.688Z,174312714068808
"""cashin @ z9ny6iZJyv"" posts an ante of 0.10",2025-03-28T01:59:00.688Z,174312714068807
"""MineSweeperPro @ 1CyApOBBYk"" posts an ante of 0.10",2025-03-28T01:59:00.688Z,174312714068806
"""james @ yIasX5_n4b"" posts an ante of 0.10",2025-03-28T01:59:00.688Z,174312714068805
"Your hand is 10♣, 4♠",2025-03-28T01:59:00.688Z,174312714068802
"Player stacks: #1 ""james @ yIasX5_n4b"" (393.86) | #2 ""MineSweeperPro @ 1CyApOBBYk"" (374.37) | #4 ""cashin @ z9ny6iZJyv"" (299.73)",2025-03-28T01:59:00.688Z,174312714068801
"-- starting hand #334 (id: v2swvnbqtvdg)  (No Limit Texas Hold'em) (dealer: ""cashin @ z9ny6iZJyv"") --",2025-03-28T01:59:00.688Z,174312714068800
"-- ending hand #333 --",2025-03-28T01:58:57.750Z,174312713775002
"""james @ yIasX5_n4b"" collected 1.30 from pot",2025-03-28T01:58:57.750Z,174312713775001
"Uncalled bet of 0.50 returned to ""james @ yIasX5_n4b""",2025-03-28T01:58:57.750Z,174312713775000
"""cashin @ z9ny6iZJyv"" folds",2025-03-28T01:58:56.929Z,174312713692900
"""MineSweeperPro @ 1CyApOBBYk"" folds",2025-03-28T01:58:56.047Z,174312713604700
"""james @ yIasX5_n4b"" posts a big blind of 1.00",2025-03-28T01:58:50.959Z,174312713095909
"""cashin @ z9ny6iZJyv"" posts a small blind of 0.50",2025-03-28T01:58:50.959Z,174312713095908
"""cashin @ z9ny6iZJyv"" posts an ante of 0.10",2025-03-28T01:58:50.959Z,174312713095907
"""MineSweeperPro @ 1CyApOBBYk"" posts an ante of 0.10",2025-03-28T01:58:50.959Z,174312713095906
"""james @ yIasX5_n4b"" posts an ante of 0.10",2025-03-28T01:58:50.959Z,174312713095905
"Your hand is A♥, J♠",2025-03-28T01:58:50.959Z,174312713095902
"Player stacks: #1 ""james @ yIasX5_n4b"" (393.16) | #2 ""MineSweeperPro @ 1CyApOBBYk"" (374.47) | #4 ""cashin @ z9ny6iZJyv"" (300.33)",2025-03-28T01:58:50.959Z,174312713095901
"-- starting hand #333 (id: a2brhfvlstgj)  (No Limit Texas Hold'em) (dealer: ""MineSweeperPro @ 1CyApOBBYk"") --",2025-03-28T01:58:50.959Z,174312713095900
"-- ending hand #332 --",2025-03-28T01:58:48.021Z,174312712802102
"""MineSweeperPro @ 1CyApOBBYk"" collected 2.30 from pot",2025-03-28T01:58:48.021Z,174312712802101
"Uncalled bet of 2.72 returned to ""MineSweeperPro @ 1CyApOBBYk""",2025-03-28T01:58:48.021Z,174312712802100
"""cashin @ z9ny6iZJyv"" folds",2025-03-28T01:58:47.157Z,174312712715700
"""MineSweeperPro @ 1CyApOBBYk"" raises to 3.72",2025-03-28T01:58:45.857Z,174312712585700
"""james @ yIasX5_n4b"" folds",2025-03-28T01:58:41.469Z,174312712146900
"""cashin @ z9ny6iZJyv"" posts a big blind of 1.00",2025-03-28T01:58:39.826Z,174312711982610
"""MineSweeperPro @ 1CyApOBBYk"" posts a small blind of 0.50",2025-03-28T01:58:39.826Z,174312711982609
"""cashin @ z9ny6iZJyv"" posts an ante of 0.10",2025-03-28T01:58:39.826Z,174312711982608
"""MineSweeperPro @ 1CyApOBBYk"" posts an ante of 0.10",2025-03-28T01:58:39.826Z,174312711982607
"""james @ yIasX5_n4b"" posts an ante of 0.10",2025-03-28T01:58:39.826Z,174312711982606
"Your hand is J♦, 4♣",2025-03-28T01:58:39.826Z,174312711982603
"Player stacks: #1 ""james @ yIasX5_n4b"" (393.26) | #2 ""MineSweeperPro @ 1CyApOBBYk"" (373.27) | #4 ""cashin @ z9ny6iZJyv"" (301.43)",2025-03-28T01:58:39.826Z,174312711982602
"-- starting hand #332 (id: qxlg0wpgvym7)  (No Limit Texas Hold'em) (dealer: ""james @ yIasX5_n4b"") --",2025-03-28T01:58:39.826Z,174312711982601
"The player ""brian @ S6b6tLmlfO"" quits the game with a stack of 0.00.",2025-03-28T01:58:39.826Z,174312711982600
"""james @ yIasX5_n4b"" shows a Q♣.",2025-03-28T01:58:38.341Z,174312711834100
"-- ending hand #331 --",2025-03-28T01:58:36.090Z,174312711609001
"""MineSweeperPro @ 1CyApOBBYk"" collected 293.76 from pot with Pair, Q's (combination: Q♥, Q♦, 10♠, 8♥, 6♠)",2025-03-28T01:58:36.090Z,174312711609000
"River: 10♠, 8♥, 3♦, 6♠ [2♣]",2025-03-28T01:58:32.081Z,174312711208100
"Turn: 10♠, 8♥, 3♦ [6♠]",2025-03-28T01:58:28.050Z,174312710805000
"""brian @ S6b6tLmlfO"" shows a J♣, 9♣.",2025-03-28T01:58:24.010Z,174312710401001
"""MineSweeperPro @ 1CyApOBBYk"" shows a Q♥, Q♦.",2025-03-28T01:58:24.010Z,174312710401000
"""MineSweeperPro @ 1CyApOBBYk"" calls 130.08",2025-03-28T01:58:23.166Z,174312710316600
"""brian @ S6b6tLmlfO"" raises to 130.08 and go all in",2025-03-28T01:58:22.134Z,174312710213400
"""cashin @ z9ny6iZJyv"" folds",2025-03-28T01:58:16.216Z,174312709621600
"""MineSweeperPro @ 1CyApOBBYk"" raises to 50.40",2025-03-28T01:58:14.388Z,174312709438800
"""brian @ S6b6tLmlfO"" bets 16.80",2025-03-28T01:58:09.315Z,174312708931500
"""cashin @ z9ny6iZJyv"" checks",2025-03-28T01:58:06.628Z,174312708662800
"""MineSweeperPro @ 1CyApOBBYk"" checks",2025-03-28T01:58:04.412Z,174312708441200
"Flop:  [10♠, 8♥, 3♦]",2025-03-28T01:58:00.150Z,174312708015000
